name,aorta,gall_bladder,kidney_left,kidney_right,liver,pancreas,postcava,spleen,stomach
s0000,,,,,,,,,
s0001,0.947089433670044,,0.9665048122406006,0.9588646292686462,0.967589259147644,0.8850144743919373,0.8520689010620117,0.9782641530036926,0.9715832471847534
s0002,,,,,,,,,
s0003,,,,,,,,,
s0006,0.9253430366516112,0.9276979565620422,0.9611303806304932,0.9412450790405272,0.9795793294906616,0.9071499109268188,0.9327803254127502,0.9766840934753418,0.9461159706115724
s0009,0.956718683242798,0.8614864945411682,0.9611125588417052,0.9721373319625854,0.9814323782920836,0.829469621181488,0.8822879195213318,0.970963418483734,0.9334789514541626
s0012,0.8792831301689148,,0.9374717473983764,0.9445316791534424,0.9607086777687072,0.8460882902145386,0.9524816274642944,0.9751927256584167,0.6776032447814941
s0013,0.9515600204467772,,0.9035962224006652,0.9308555722236632,0.974938988685608,0.9033766388893129,0.8634364008903503,0.9781604409217834,0.961426854133606
s0014,0.9113453030586244,,0.951080858707428,0.9572420120239258,0.9549578428268432,0.8383604288101196,0.7476107478141785,0.9784631133079528,0.3896670937538147
s0021,0.4550099968910217,,,,,,,,
s0022,0.957505226135254,0.9130989909172058,0.9457663297653198,0.0,0.9706275463104248,0.8207600712776184,0.8798031806945801,0.979291558265686,0.953397810459137
s0025,,,,,,,,,
s0032,0.9167238473892212,,0.9622173309326172,,0.7751277089118958,,0.7428785562515259,0.5126219987869263,0.0369502082467079
s0034,0.9140824675559998,,0.9132869243621826,0.9506623148918152,0.9307870864868164,0.8818181753158569,0.4506666660308838,,0.9335304498672484
s0035,0.044106900691986,,,,,,,,
s0036,0.0,,,,,,,,
s0037,0.2298441976308822,,0.0387228615581989,,0.9446307420730592,0.4601270258426666,0.1200105249881744,0.8559955954551697,0.0
s0043,,,,,,,,,
s0044,0.0127836372703313,,,,,,,,
s0048,0.9194783568382264,,0.948922038078308,0.962283492088318,0.9771151542663574,0.8563569784164429,0.9235798716545104,0.9784225225448608,0.910573661327362
s0049,0.2488408237695694,,0.8771188259124756,0.6788461804389954,0.9764047265052797,0.7993061542510986,0.9137383699417114,0.9792554974555968,0.9631677865982056
s0056,,,,,,,,,
s0061,0.0,,,,,,,,
s0062,0.5572538375854492,,0.7794484496116638,0.0,0.0,,0.8973836898803711,,
s0063,0.0003035361878573,,,,,,,,
s0066,0.7938920259475708,0.9444050192832948,0.8916414380073547,0.9488866925239564,0.9776447415351868,0.8121872544288635,0.8458538055419922,0.9592037796974182,0.9440008401870728
s0067,0.5276710391044617,,,,0.0,,0.0,,
s0068,0.6560618281364441,0.900349497795105,0.7131606936454773,0.90380597114563,0.9464519023895264,0.470862865447998,0.757159948348999,0.806316077709198,0.6519916653633118
