name,aorta,gall_bladder,kidney_left,kidney_right,liver,pancreas,postcava,spleen,stomach
s0000,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0001,0.9598206877708435,nan,0.9473447799682617,0.9471262693405151,0.965611457824707,0.9004457592964172,0.8887031078338623,0.9997335076332092,0.9866487979888916
s0002,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0003,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0004,0.9516336917877197,0.5989379286766052,0.8618912696838379,0.8843556046485901,0.9336981773376465,0.8963531851768494,0.8829179406166077,0.9560989737510681,0.7830467224121094
s0006,0.9712698459625244,0.9135490655899048,0.9169118404388428,0.9278078675270081,0.973927915096283,0.8766672015190125,0.9270055890083313,0.9942227005958557,0.9152101874351501
s0009,0.9940991997718811,0.6549232006072998,0.9234164953231812,0.9262040853500366,0.9622911214828491,0.7769629955291748,0.9194326400756836,0.9635837078094482,0.9626590013504028
s0010,0.6665114164352417,0.9993155598640442,0.883936882019043,0.8724138140678406,0.9632337689399719,0.9577769041061401,0.8638483285903931,0.9886571168899536,0.9508475661277771
s0011,0.8432189226150513,0.975775957107544,0.8966458439826965,0.85399329662323,0.9051135778427124,0.935457706451416,0.9072692394256592,0.9901329874992371,0.9088897705078125
s0012,0.8893870115280151,nan,0.823117733001709,0.8682823181152344,0.812395453453064,0.7196202278137207,0.9527072906494141,0.9688578844070435,0.5516437888145447
s0013,0.9717721939086914,nan,0.7859929800033569,0.8320100903511047,0.9518006443977356,0.9170045852661133,0.8480309844017029,0.9973005056381226,0.9622455835342407
s0014,0.922746479511261,nan,0.8612766265869141,0.8975189924240112,0.6423509120941162,0.7612003087997437,0.7669690251350403,0.989115834236145,0.39118409156799316
s0015,0.884186863899231,0.8096692562103271,0.8617808818817139,0.903227686882019,0.9243570566177368,0.44648441672325134,0.7767771482467651,0.9542026519775391,0.771640956401825
s0016,0.552006185054779,nan,0.8214648365974426,0.8420195579528809,0.934603214263916,0.9106917381286621,0.6313405632972717,0.9987486004829407,0.9280051589012146
s0019,0.929954469203949,0.9332234263420105,0.8583887219429016,0.88036048412323,0.964710533618927,0.9401752352714539,0.8952285051345825,0.9954792857170105,0.944480836391449
s0021,0.585936963558197,nan,nan,nan,nan,nan,nan,nan,nan
s0022,0.9810589551925659,0.9434332251548767,0.9533642530441284,0.9705542922019958,0.9570341110229492,0.8470540046691895,0.9332049489021301,0.998262882232666,0.9036874771118164
s0024,0.52288419008255,0.9728457927703857,0.8154037594795227,0.8929414749145508,0.9481623768806458,0.8773541450500488,0.8078961372375488,0.9956569671630859,0.93212890625
s0025,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0028,0.9564032554626465,0.8641259074211121,0.8673922419548035,0.8794379830360413,0.9369143843650818,0.8146765232086182,0.9390982389450073,0.8476532697677612,0.8683288097381592
s0029,0.8971792459487915,0.7766931056976318,0.8444607257843018,0.8543988466262817,0.9148098826408386,0.8579108119010925,0.9046939611434937,0.9456861019134521,0.8789834380149841
s0030,0.917317807674408,0.9636363387107849,0.8615891337394714,0.8315184116363525,0.9641327857971191,0.8710078597068787,0.7549657225608826,0.9940347671508789,0.9647637605667114
s0031,0.9882100820541382,0.7506259679794312,0.9077965617179871,0.7292526364326477,0.9742305278778076,0.9780609607696533,0.5467469692230225,0.996404230594635,0.9742906093597412
s0032,0.9595359563827515,nan,0.9990970492362976,nan,0.6120208501815796,nan,0.7745432257652283,0.8119928240776062,0.23630405962467194
