name,aorta,gall_bladder,kidney_left,kidney_right,liver,pancreas,postcava,spleen,stomach
AutoPET_07b7e9abfc_08717,0.7557312846183777,0.9067250490188599,0.9453211426734924,0.9608199000358582,0.9756999611854553,0.9247059226036072,0.9260293245315552,0.9739575386047363,0.9787207245826721
AutoPET_0410759456_20805,0.9433298707008362,0.9047767519950867,0.9639185667037964,0.9727196097373962,0.967212975025177,0.9189479947090149,0.9281584024429321,0.9745936989784241,0.9693894982337952
AutoPET_04606080a0_22538,0.9470798969268799,0.9276260137557983,0.9758753776550293,0.972030520439148,0.9716554880142212,0.9141620993614197,0.9428924918174744,0.964262843132019,0.945835292339325
AutoPET_06e7c24059_97021,0.9493064880371094,0.9038505554199219,0.9836000800132751,0.9855899214744568,0.9716082215309143,0.8641785979270935,0.9517418146133423,0.9756043553352356,0.9313188195228577
AutoPET_0410759456_75415,0.9436388611793518,0.9157201647758484,0.9634069800376892,0.9756094217300415,0.9626543521881104,0.912940263748169,0.9427300691604614,0.974393367767334,0.9791353344917297
AutoPET_04ab5c61c9_42241,0.9183696508407593,0.9185271859169006,0.9759678244590759,0.9772586822509766,0.971000611782074,0.9319251775741577,0.9414230585098267,0.9620478749275208,0.9688271880149841
AutoPET_0af7ffe12a_96698,0.9454131722450256,nan,0.9734326004981995,0.9631593823432922,0.9717441201210022,0.5919988751411438,0.9492979645729065,0.9785708785057068,0.9487160444259644
AutoPET_08198c4f0c_57428,0.9334558844566345,0.9231480360031128,0.9651086926460266,0.9691806435585022,0.970578134059906,0.9470800757408142,0.9460090398788452,0.9705557227134705,0.9771992564201355
AutoPET_0143bab87a_33529,0.9392765760421753,0.8854623436927795,0.9709581136703491,0.9763317108154297,0.9663199782371521,0.9306895136833191,0.9227650165557861,0.9578647613525391,0.9162984490394592
AutoPET_099b3fd402_84728,0.6263168454170227,0.8496135473251343,0.9448512196540833,0.9500066637992859,0.9725296497344971,0.82626873254776,0.920757532119751,0.9728161692619324,0.9601503610610962
AutoPET_098c4b7b87_71743,0.6981848478317261,0.8043538331985474,0.9600638747215271,0.886537492275238,0.9691312909126282,0.5153287053108215,0.8724961280822754,0.9319888949394226,0.7661842703819275
AutoPET_07574bfa00_91235,0.8742150068283081,0.9122826457023621,0.9782758355140686,0.9686474800109863,0.9766680598258972,0.9126681089401245,0.9217507243156433,0.9713425040245056,0.9691466689109802
AutoPET_01140d52d8_56839,0.9185777306556702,0.9400805234909058,0.976959764957428,0.9669517874717712,0.9727059602737427,0.9425267577171326,0.9146184325218201,0.9827709794044495,0.9770340323448181
