name,aorta,gall_bladder,kidney_left,kidney_right,liver,pancreas,postcava,spleen,stomach
s0000,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0003,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0002,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0025,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0021,0.6329922080039978,nan,nan,nan,nan,nan,nan,nan,nan
s0032,0.8368194103240967,nan,0.9119645953178406,nan,0.9198285341262817,nan,0.5668953657150269,0.6735557317733765,0.0
s0035,0.42555251717567444,nan,nan,nan,nan,nan,nan,nan,nan
s0036,0.0,nan,nan,nan,nan,nan,nan,nan,nan
s0001,0.9339550137519836,nan,0.9633708000183105,0.9579850435256958,0.9684195518493652,0.8955450057983398,0.8813621401786804,0.9832137823104858,0.9730654358863831
s0006,0.9563793540000916,0.929947555065155,0.9555569887161255,0.9572251439094543,0.9794979691505432,0.9209362268447876,0.9534143805503845,0.9783753752708435,0.9249720573425293
s0022,0.959135890007019,0.9449633359909058,0.962628185749054,0.9665942788124084,0.9741525053977966,0.8527809977531433,0.8958706855773926,0.983280599117279,0.959906816482544
s0012,0.8829459547996521,nan,0.9425753951072693,0.9420527815818787,0.9745967984199524,0.8616860508918762,0.961403489112854,0.98154616355896,0.693821370601654
s0010,0.6868900060653687,0.9576618671417236,0.9449435472488403,0.929161787033081,0.9801876544952393,0.9413724541664124,0.9106341600418091,0.9817491769790649,0.9615815281867981
s0043,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0009,0.967312753200531,0.8227589130401611,0.956973671913147,0.962611734867096,0.9757074117660522,0.8227429986000061,0.9089020490646362,0.971836268901825,0.9567651748657227
s0044,0.8372516632080078,nan,nan,nan,nan,nan,nan,nan,nan
s0015,0.8831769227981567,0.9211258888244629,0.9508026242256165,0.9581869840621948,0.9817540049552917,0.601101279258728,0.8438056111335754,0.9840536713600159,0.9577283263206482
s0014,0.9280282258987427,nan,0.9463901519775391,0.9550175070762634,0.7703896164894104,0.8867693543434143,0.8801100850105286,0.9820008873939514,0.5227658152580261
s0031,0.9480166435241699,0.8180140256881714,0.8285271525382996,0.6815416812896729,0.9827214479446411,0.9467994570732117,0.7050006985664368,0.9789237380027771,0.9687298536300659
s0004,0.9450071454048157,0.8098040223121643,0.9105177521705627,0.9283087253570557,0.9754906892776489,0.9044872522354126,0.9286511540412903,0.9799901247024536,0.9139408469200134
s0030,0.9089276194572449,0.9570918083190918,0.9416136145591736,0.9212916493415833,0.9812563061714172,0.9071608185768127,0.9035952687263489,0.9871608018875122,0.9686076045036316
s0028,0.940962553024292,0.8743273019790649,0.9480943083763123,0.9391477704048157,0.973300039768219,0.8818947076797485,0.9432183504104614,0.9303620457649231,0.9464308023452759
s0013,0.9554139971733093,nan,0.9020727276802063,0.9298200607299805,0.9759476184844971,0.9386268258094788,0.8985832929611206,0.984799861907959,0.9621935486793518
s0056,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0019,0.9353335499763489,0.9264541268348694,0.9322691559791565,0.9348353147506714,0.9774914979934692,0.9356397390365601,0.9059740304946899,0.9803074598312378,0.9676107168197632
s0011,0.8704111576080322,0.944237470626831,0.9447159171104431,0.9328184723854065,0.9743755459785461,0.936039924621582,0.9240750670433044,0.9663249850273132,0.9544519186019897
s0024,0.4003395736217499,0.9469935297966003,0.9294635653495789,0.9424816966056824,0.9788275957107544,0.8985669612884521,0.8721483945846558,0.982229471206665,0.9705719351768494
s0061,0.23798297345638275,nan,nan,nan,nan,nan,nan,nan,nan
s0034,0.935152530670166,nan,0.8721650838851929,0.9257563948631287,0.9645060896873474,0.9046661257743835,0.4858691394329071,nan,0.9504023790359497
s0037,0.770997166633606,nan,0.4777311682701111,nan,0.9723169803619385,0.5380577445030212,0.5520734786987305,0.9537469148635864,0.4451039433479309
s0016,0.6163078546524048,nan,0.9149166345596313,0.9246493577957153,0.9765094518661499,0.9299854636192322,0.7421762943267822,0.9855048656463623,0.9566660523414612
s0063,0.002068133559077978,nan,nan,nan,nan,nan,nan,nan,nan
s0039,0.9795188307762146,0.8143676519393921,0.9432643055915833,0.9638292789459229,0.9781366586685181,0.9419305324554443,0.9368144869804382,0.9561094641685486,0.9656211137771606
s0067,0.562908411026001,nan,nan,nan,0.8000295162200928,nan,0.8055639266967773,nan,nan
s0062,0.9395465850830078,nan,0.918336808681488,0.0,0.0,nan,0.7505975961685181,nan,nan
s0038,0.9249590039253235,0.9281778931617737,0.9563444256782532,0.9577593207359314,0.975756824016571,0.8055632710456848,0.9559993743896484,0.9663853645324707,0.9308356046676636
s0048,0.943919837474823,nan,0.9534593224525452,0.9513275027275085,0.9744195342063904,0.9241607785224915,0.9006891250610352,0.9790107607841492,0.9460000395774841
s0029,0.9194092154502869,0.8168180584907532,0.9367507100105286,0.9366236925125122,0.9673805236816406,0.8681637048721313,0.9414687752723694,0.978509247303009,0.9507410526275635
s0046,0.6501544117927551,0.8228005170822144,0.3780524432659149,0.8926916122436523,0.9805819392204285,0.9454682469367981,0.8760716319084167,0.9746014475822449,0.9722102284431458
s0042,0.7658624649047852,0.9474171996116638,0.9330090284347534,0.9285726547241211,0.9784978628158569,0.9341035485267639,0.9675470590591431,0.9854694604873657,0.971028208732605
s0074,0.0,nan,nan,nan,nan,nan,0.0,nan,nan
s0049,0.49408525228500366,nan,0.8899875283241272,0.6598068475723267,0.978272020816803,0.8284633755683899,0.9235373139381409,0.9802170991897583,0.9661683440208435
s0050,0.9162214398384094,0.9658874869346619,0.9628075361251831,0.9526265263557434,0.9820604920387268,0.9032843112945557,0.9290612936019897,0.9834078550338745,0.9629408717155457
s0040,0.9209789037704468,0.9546021223068237,0.9569050073623657,0.9459092617034912,0.984673023223877,0.9414076805114746,0.9527860283851624,0.9823275208473206,0.9736995100975037
s0054,0.9515541791915894,0.9291784763336182,0.9455490708351135,0.9144257307052612,0.9770321846008301,0.9259670972824097,0.8850207924842834,0.9798958897590637,0.9655636548995972
s0052,0.7828642129898071,0.9473958015441895,0.9411313533782959,0.8186976313591003,0.9792258143424988,0.9201382994651794,0.9330886006355286,0.985785961151123,0.9531151652336121
s0081,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0079,0.2554186284542084,nan,nan,nan,nan,nan,nan,nan,nan
s0068,0.6318862438201904,0.863760232925415,0.6860689520835876,0.8842477798461914,0.9444371461868286,0.7600073218345642,0.7215330004692078,0.7810171246528625,0.7125052213668823
s0045,0.4697035849094391,0.8903622031211853,0.9518536329269409,0.9490981698036194,0.9773650765419006,0.9221968054771423,0.9043171405792236,0.988259494304657,0.9507462978363037
s0059,0.9425278306007385,0.4652317762374878,0.9365026354789734,0.9067788124084473,0.9630825519561768,0.42326804995536804,0.9147819876670837,0.9702738523483276,0.9264377355575562
s0065,0.7443356513977051,0.9003699421882629,0.9376921653747559,0.9327279925346375,0.9792076945304871,0.9177511930465698,0.9140470027923584,0.9752489328384399,0.9750198125839233
s0083,0.6401227116584778,nan,nan,nan,0.6170982718467712,nan,0.8471251130104065,0.9350157976150513,0.7291746735572815
s0066,0.8943313956260681,0.9439295530319214,0.9339852929115295,0.95040363073349,0.9785454273223877,0.8324792981147766,0.8640026450157166,0.9614614248275757,0.9449807405471802
s0084,0.5737549066543579,nan,nan,nan,0.8449328541755676,nan,0.9122430086135864,0.42573580145835876,nan
s0071,0.9118278622627258,nan,0.9422513842582703,0.9316380023956299,0.9804443120956421,0.8551495671272278,0.9615095257759094,0.9870787858963013,0.9824678301811218
s0072,0.7853626012802124,nan,0.926882266998291,0.9212617874145508,0.981055498123169,0.9378125667572021,0.8845046162605286,0.981238067150116,0.9549936056137085
s0069,0.9478786587715149,0.9497258067131042,0.9665625691413879,0.964829683303833,0.9825946092605591,0.8884180188179016,0.9157404899597168,0.936440110206604,0.9689890742301941
s0085,0.4183136224746704,nan,nan,nan,0.9729903936386108,nan,0.3934924006462097,0.9698032140731812,0.4398571848869324
s0057,0.8476079106330872,0.7517957091331482,0.9087721109390259,0.9289608597755432,0.9817999005317688,0.9341033697128296,0.9367421269416809,0.9846979379653931,0.9633225798606873
s0099,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0100,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0101,nan,nan,nan,nan,nan,nan,nan,nan,nan
s0053,0.9136828184127808,0.9724633097648621,0.9539725184440613,0.9572160243988037,0.9813652634620667,0.9516260027885437,0.9139506220817566,0.9869036674499512,0.9731422066688538
